##SAMPLE_ID	Collected tissue sample identification
##TUBE_LABEL	How sample was labeled on storage tube
##SEX	The sex of the bird
##NORM_TUM	Whether sample is characterized as normal or somatic
##TISSUE	Type of collected tissue
##TUMOR_NUM	Number of COLLECTED tumors from bird
##TUMOR_SCORE	Grade of tumor; Scale of 1-3, 3 represents most homologous largest tumor in appearence, interpretation by eye
##COHORT	Experimental cohort
##STORAGE	The storage strategy of tissue based on potential for biological sampling; DNA, RNA, cytogenetics, liquid_nitrogen, immunohistochem
##ANALYSIS	The actual biological tests that have been performed from sample; dna_seq, affy_array, rna_seq, cytogenetics, immunohistochem ,targeted_resequencing
##FILTER	Justification for priority score
###FILTERS:
###filter_1:	All samples that underwent DNA-sequencing from Summer 2014 cohort (plus matching normals)
###filter_2:	All samples that underwent RNA-sequencing from Summer 2014 cohort
###filter_3:	Gonadal tumors with tumor score greater than or equal to 2
###filter_4:	The tumors from birds that possess multiple high quality tumors
###filter_5:	Tumors that have a tumor score of 3 regardless of tissue
###filter_6:	Tumors that have a tumor score of 2 regardless of tissue
###filter_7:	Remaining gonadal tumor samples
###filter_8:	Remaining tumor samples
###filter_9:	Remaining normal samples
#SAMPLE_ID	TUBE_LABEL	SEX	NORM_TUM	TISSUE	TUMOR_NUM	TUMOR_SCORE	COHORT	STORAGE	SAMPLING	FILTER
017862-3	017862-3	female	tumor	heart	3	na	summer_2014	dna	na	8
017869-1	017869-1	male	tumor	heart	1	na	summer_2014	dna	na;targeted_resequencing	8
017874-1	017874-1	female	tumor	spleen	2	na	summer_2014	dna	na;targeted_resequencing	8
017877-1	017877-1	male	tumor	heart	1	na	summer_2014	dna	na;targeted_resequencing	8
017883-1	017883-1	male	tumor	spleen	1	na	summer_2014	rna	na;targeted_resequencing	8
017884-1	017884-1	female	tumor	heart	2	na	summer_2014	dna	na	8
017897-1	017897-1	male	tumor	liver	1	na	summer_2014	rna	na;targeted_resequencing	8
017898-3	017898-3	male	tumor	spleen	3	na	summer_2014	dna	na	8
017904-1	017904-1	female	tumor	spleen	2	1	summer_2014	dna;rna	na;targeted_resequencing	8
017904-2	017904-2	female	tumor	heart	2	na	summer_2014	rna	na;targeted_resequencing	8
017907-1	017907-1	female	tumor	heart	4	na	summer_2014	dna;rna	na	8
017907-2	017907-2	female	tumor	heart	4	na	summer_2014	rna	na	8
017907-3	017907-3	female	tumor	spleen	4	na	summer_2014	dna;cyto;rna	na	8
017911-2	017911-2	male	tumor	heart	3	na	summer_2014	dna;rna	na;targeted_resequencing	8
017911-3	017911-3	male	tumor	spleen	3	na	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
017918-1	017918-1	female	tumor	heart	3	na	summer_2014	dna;rna	na;targeted_resequencing	8
017918-2	017918-2	female	tumor	spleen	3	na	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
017925-1	017925-1	male	tumor	heart	2	na	summer_2014	rna	na;targeted_resequencing	8
017925-2	017925-2	male	tumor	spleen	2	na	summer_2014	rna	na;targeted_resequencing	8
017927-1	017927-1	female	tumor	spleen	2	na	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
017930-3	017930-3	male	tumor	spleen	2	na	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
NoTag2-1	NoTag2-1	male	tumor	spleen	1	1	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
S003-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S004-T_2	na	female	tumor	spleen	4	1	summer_2017	liquid_nitrogen	na	8
S004-T_3	na	female	tumor	liver	4	1	summer_2017	liquid_nitrogen	na	8
S005-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S007-T_1	na	female	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S008-T_1	na	male	tumor	prov	2	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S010-T_2	na	female	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S011-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S015-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S016-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	8
S017-T_1	na	female	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S017-T_2	na	female	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S018-T_1	na	female	tumor	heart	4	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S018-T_2	na	female	tumor	spleen	4	1	summer_2017	liquid_nitrogen	immunohistochem	8
S018-T_3	na	female	tumor	kidney	4	1	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	8
S019-T_2	na	male	tumor	spleen	4	1	summer_2017	liquid_nitrogen	immunohistochem	8
S019-T_3	na	male	tumor	heart	4	1	summer_2017	liquid_nitrogen	na	8
S020-T_1	na	female	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S021-T_2	na	female	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S022-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na	8
S023-T_1	na	female	tumor	spleen	4	1	summer_2017	liquid_nitrogen	na	8
S023-T_2	na	female	tumor	heart	4	1	summer_2017	liquid_nitrogen	na	8
S024-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na	8
S026-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S028-T_1	na	male	tumor	spleen	4	1	summer_2017	liquid_nitrogen	na	8
S028-T_2	na	male	tumor	heart	4	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S029-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	immunohistochem	8
S032-T_2	na	female	tumor	heart	4	1	summer_2017	liquid_nitrogen	na	8
S033-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S034-T_1	na	female	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S034-T_1	na	female	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na;targeted_resequencing;targeted_resequencing	8
S036-T_3	na	female	tumor	spleen	4	1	summer_2017	liquid_nitrogen	immunohistochem	8
S037-T_3	na	male	tumor	spleen	4	1	summer_2017	liquid_nitrogen	na	8
S039-T_1	na	female	tumor	heart	4	1	summer_2017	liquid_nitrogen	na	8
S040-T_2	na	female	tumor	spleen	5	1	summer_2017	liquid_nitrogen	immunohistochem	8
S040-T_3	na	female	tumor	heart	5	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S041-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	immunohistochem	8
S044-T_1	na	male	tumor	spleen	4	1	summer_2017	liquid_nitrogen	na	8
S045-T_1	na	female	tumor	spleen	3	1	summer_2017	liquid_nitrogen	immunohistochem	8
S046-T_1	na	male	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S046-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S102-T_1	na	female	tumor	heart	2	1	summer_2017	liquid_nitrogen	na	8
S103-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	immunohistochem	8
S104-T_1	na	female	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S104-T_2	na	female	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S106-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na	8
S107-T_1	na	male	tumor	kidney	2	1	summer_2017	liquid_nitrogen	na	8
S110-T_1	na	male	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S110-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	na	8
S112-T_2	na	female	tumor	heart	5	1	summer_2017	liquid_nitrogen	na	8
S112-T_3	na	female	tumor	prov	5	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	8
S112-T_4	na	female	tumor	spleen	5	1	summer_2017	liquid_nitrogen	immunohistochem	8
S114-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na	8
S116-T_1	na	male	tumor	spleen	2	1	summer_2017	liquid_nitrogen	na	8
S117-T_1	na	male	tumor	heart	3	1	summer_2017	liquid_nitrogen	na	8
S117-T_2	na	male	tumor	spleen	3	1	summer_2017	liquid_nitrogen	immunohistochem	8
017728-0	017728	male	normal	liver	1	na	summer_2014	dna;rna	na	9
017729-0	017729	female	normal	spleen	0	na	summer_2014	dna;rna	na	9
017734-0	017734	female	normal	liver	1	na	summer_2014	dna;rna	na	9
017739-0	017739	male	normal	spleen 	0	na	summer_2014	dna;rna	na	9
017743-0	017743	male	normal	spleen	0	na	summer_2014	rna	na	9
017752-0	017752	male	normal	spleen	0	na	summer_2014	rna	na	9
017753-0	017753	female	normal	liver	1	na	summer_2014	dna;rna	na	9
017754-0	017754	female	normal	spleen	0	na	summer_2014	rna	na	9
017758-0	017758	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017761-0	017761	na	normal	spleen	0	na	summer_2014	dna;rna	na	9
017763-0	017763	male	normal	spleen	0	na	summer_2014	rna	na	9
017768-0	017768	female	normal	liver	2	na	summer_2014	dna;rna	na	9
017769-0	017769	female	normal	heart	1	na	summer_2014	dna;rna	na	9
017772-0	017772	female	normal	liver	1	na	summer_2014	dna;rna	na	9
017773-0	017773	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017776-0	017776	female	normal	spleen	1	na	summer_2014	rna	na	9
017779-0	017779	male	normal	spleen	0	na	summer_2014	rna	na	9
017780-0	017780	female	normal	liver	2	na	summer_2014	dna;rna	na	9
017781-0	017781	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017783-0	017783	female	normal	spleen 	0	na	summer_2014	dna;rna	na	9
017785-0	017785	na	normal	spleen	0	na	summer_2014	rna	na	9
017800-0	017800	female	normal	liver	1	na	summer_2014	dna;rna	na	9
017801-0	017801	male	normal	spleen	0	na	summer_2014	rna	na	9
017803-0	017803	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017808-0	017808	na	normal	spleen	0	na	summer_2014	rna	na	9
017810-0	017810	male	normal	liver	1	na	summer_2014	dna;rna	na	9
017811-0	017811	male	normal	spleen	0	na	summer_2014	na	na	9
017813-0	017813	female	normal	spleen	0	na	summer_2014	rna	na	9
017814-0	017814	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017818-0	017818	male	normal	gonad	7	na	summer_2014	dna;rna	na	9
017821-0	017821	male	normal	liver	1	na	summer_2014	dna	na	9
017822-0	017822	male	normal	heart	1	na	summer_2014	dna;rna	na	9
017828-0	017828	female	normal	heart 	1	na	summer_2014	dna	na	9
017830-0	017830	male	normal	spleen	0	na	summer_2014	rna	na	9
017844-0	017844	male	normal	spleen	0	na	summer_2014	rna	na	9
017845-0	017845	male	normal	liver	2	na	summer_2014	dna;rna	na	9
017849-0	017849	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017850-0	017850	male	normal	spleen	0	na	summer_2014	rna	na	9
017852-0	017852	female	normal	liver	4	na	summer_2014	dna	na	9
017853-0	017853	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017856-0	017856	male	normal	spleen	0	na	summer_2014	rna	na	9
017860-0	017860-2-N	male	normal	gonad	3	na	summer_2014	dna;rna	na	9
017861-0	017861	female	normal	spleen	0	na	summer_2014	rna	na	9
017862-0	017862	female	normal	liver	3	na	summer_2014	dna	na	9
017864-0	017864	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017866-0	017866	female	normal	spleen	0	na	summer_2014	rna	na	9
017869-0	017869	male	normal	heart	1	na	summer_2014	dna	na	9
017874-0	017874	female	normal	liver	2	na	summer_2014	dna	na	9
017877-0	017877	male	normal	liver	1	na	summer_2014	dna	na	9
017878-0	017878	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017883-0	017883-2	male	normal	heart	1	na	summer_2014	rna	na	9
017886-0	017886	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017888-0	017888	female	normal	spleen 	0	na	summer_2014	dna;rna	na	9
017895-0	017895	female	normal	spleen	0	na	summer_2014	rna	na	9
017897-0	017897	male	normal	spleen	1	na	summer_2014	rna	na	9
017898-0	017898	male	normal	liver	3	na	summer_2014	dna	na	9
017900-0	017900	male	normal	spleen	0	na	summer_2014	rna	na	9
017902-0	017902	female	normal	spleen	0	na	summer_2014	dna;rna	na	9
017903-0	017903	female	normal	spleen	0	na	summer_2014	rna	na	9
017904-0	017904-2-0	female	normal	heart	2	na	summer_2014	rna	na	9
017905-0	017905	male	normal	spleen	0	na	summer_2014	rna	na	9
017907-0	017907	female	normal	heart	4	na	summer_2014	na	na	9
017912-0	017912	female	normal	spleen	0	na	summer_2014	dna;rna	na	9
017914-0	017914	male	normal	spleen	0	na	summer_2014	rna	na	9
017915-0	017915	female	normal	liver	1	na	summer_2014	dna;rna	na	9
017919-0	017919	female	normal	spleen	0	na	summer_2014	dna;rna	na	9
017922-0	017922	male	normal	spleen	0	na	summer_2014	rna	na	9
017924-0	017924	female	normal	spleen	1	na	summer_2014	rna	na	9
017926-0	017926	male	normal	spleen	0	na	summer_2014	rna	na	9
017930-0	017930	male	normal	liver	2	na	summer_2014	dna;rna	na	9
017931-0	017931	male	normal	spleen	0	na	summer_2014	dna;rna	na	9
017932-0	017932	male	normal	liver	1	na	summer_2014	dna;rna	na	9
017933-0	017933	male	normal	spleen	0	na	summer_2014	rna	na	9
017934-0	017934	female	normal	spleen	0	na	summer_2014	dna;rna	na	9
017935-0	017935	female	normal	spleen 	0	na	summer_2014	dna;rna	na	9
NoTag-0	NoTag	female	normal	spleen	0	na	summer_2014	rna	na	9
NoTag2-0	NoTag2	male	normal	liver	1	na	summer_2014	dna;rna	na	9
S001-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S002-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S003-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S003-N_1	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S004-N_0	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S005-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S006-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S007-N_0	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S007-N_1	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S008-N_0	na	male	normal	prov	2	na	summer_2017	liquid_nitrogen	na	9
S008-N_1	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S009-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S009-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S009-N_2	na	female	normal	gonad	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S010-N_0	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S010-N_1	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S011-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S011-N_1	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S012-N_0	na	male	normal	prov	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S012-N_1	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S013-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S014-N_0	na	male	normal	gonad	3	na	summer_2017	liquid_nitrogen	na	9
S014-N_1	na	male	normal	prov	3	na	summer_2017	liquid_nitrogen	na	9
S014-N_2	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S015-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S015-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S016-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S017-N_0	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S017-N_1	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S018-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S018-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S019-N_0	na	male	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S019-N_1	na	male	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S020-N_0	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S020-N_1	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S021-N_0	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S021-N_1	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S022-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S023-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S023-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S024-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S025-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S025-N_1	na	male	normal	gonad	2	na	summer_2017	liquid_nitrogen	na	9
S026-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S026-N_1	na	male	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S027-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S028-N_0	na	male	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S028-N_1	na	male	normal	pancreas	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S028-N_2	na	male	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S029-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
S030-N_0	na	female	normal	liver	5	na	summer_2017	liquid_nitrogen	immunohistochem	9
S030-N_1	na	female	normal	heart	5	na	summer_2017	liquid_nitrogen	immunohistochem	9
S031-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S031-N_1	na	male	normal	gonad	2	na	summer_2017	liquid_nitrogen	na	9
S032-N_0	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S032-N_1	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S033-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S033-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S034-N_0	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S035-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
S035-N_1	na	male	normal	pancreas	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
S036-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S036-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S037-N_0	na	male	normal	gonad	4	na	summer_2017	liquid_nitrogen	na	9
S037-N_1	na	male	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S037-N_2	na	male	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S038-N_0	na	male	normal	gonad	2	na	summer_2017	liquid_nitrogen	na	9
S038-N_1	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S039-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S039-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S040-N_0	na	female	normal	heart	5	na	summer_2017	liquid_nitrogen	na	9
S040-N_1	na	female	normal	liver	5	na	summer_2017	liquid_nitrogen	immunohistochem	9
S040-N_2	na	female	normal	prov	5	na	summer_2017	liquid_nitrogen	na	9
S041-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
S042-N_0	na	male	normal	prov	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S042-N_1	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S043-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S044-N_0	na	male	normal	liver	4	na	summer_2017	liquid_nitrogen	na	9
S045-N_0	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
S046-N_0	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S046-N_1	na	male	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S101-N_0	na	female	normal	thymus	2	na	summer_2017	liquid_nitrogen	na	9
S101-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S102-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S102-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S103-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S104-N_0	na	female	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S104-N_1	na	female	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S105-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S105-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S106-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S107-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S108-N_0	na	male	normal	prov	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S108-N_1	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S109-N_0	na	female	normal	heart	4	na	summer_2017	liquid_nitrogen	na	9
S109-N_1	na	female	normal	liver	4	na	summer_2017	liquid_nitrogen	immunohistochem	9
S110-N_0	na	male	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S110-N_1	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	na	9
S111-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	na	9
S111-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S112-N_0	na	female	normal	liver	5	na	summer_2017	liquid_nitrogen	immunohistochem	9
S112-N_1	na	female	normal	heart	5	na	summer_2017	liquid_nitrogen	na	9
S112-N_2	na	female	normal	prov	5	na	summer_2017	liquid_nitrogen	na	9
S113-N_0	na	female	normal	heart	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S113-N_1	na	female	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S114-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S115-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	immunohistochem	9
S116-N_0	na	male	normal	liver	2	na	summer_2017	liquid_nitrogen	na	9
S117-N_0	na	male	normal	heart	3	na	summer_2017	liquid_nitrogen	na	9
S117-N_1	na	male	normal	liver	3	na	summer_2017	liquid_nitrogen	immunohistochem	9
